21:11:53:290 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
21:11:53:333 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
21:12:27:632 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
21:12:27:636 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
21:12:30:773 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
21:12:30:806 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
21:13:42:775 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
21:13:42:783 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
21:13:46:249 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
21:13:46:268 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
21:27:06:838 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
21:27:06:842 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
21:27:10:244 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
21:27:10:283 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
21:27:10:707 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
21:28:12:211 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
21:28:12:214 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
21:28:15:286 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
21:28:15:309 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
21:28:18:489 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
21:29:26:265 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
21:29:26:269 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
21:29:29:439 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
21:29:29:465 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
21:29:55:603 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
