12:13:46:283 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
12:13:57:239 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
12:14:47:498 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify if center name and address are the same on the list and on the popup ********
12:54:33:981 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
12:54:33:985 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
12:54:38:920 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
12:54:41:354 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
12:55:10:691 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
12:55:16:516 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Click on the first center on the list ********
12:56:08:758 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
12:56:08:762 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
12:56:12:215 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
12:56:12:229 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
12:56:24:856 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
12:56:51:861 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
12:56:51:868 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
12:56:55:238 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
12:57:44:146 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
12:57:44:152 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
12:57:47:614 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
12:58:32:464 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
12:58:32:470 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
12:58:35:815 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
12:58:51:928 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
12:58:51:931 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
12:58:55:348 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
12:58:55:361 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
12:59:07:869 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
13:01:31:851 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Starting TC_002_verifyCenter********
13:01:31:857 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** clicking on find center button********
13:01:35:185 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** Verify that newly open page contains /child-care-locator as a part of its URL ********
13:01:50:123 [main] INFO  testCases.TC002_verifyNumberOfCenters - *****Type New York into search box and press Enter ****
13:02:32:488 [main] INFO  testCases.TC002_verifyNumberOfCenters - ******** verify if a number of found centers is the same as a number of centers displayed on the below list ********
